id,label,category,link,emoji,
n-059,ACTION: Browse or search by keyword to find sampling measurement Keep in mind codes names are generic,Action,,,
n-002,"ACTION: Check search results for appropriate P01 codes, while carefully considering all methods used to obtain the measurement",Action,,,
n-003,ACTION: Consider all methods used to obtain the measurement,Action,,,
n-004,ACTION: Consider if the methods used to obtain the measurement are integral for understanding the measurement,Action,,,
n-005,ACTION: Consider if your biological measurement has a matrix element,Action,,,
n-006,"ACTION: Consider the units of your measurements, whether a sub-group was targeted to help you determine the matrix and measurement-matrix relationship.",Action,,ğŸ§ª,
n-112,"ACTION: Consider the units of your measurements, whether a sub-group was targeted to help you determine the matrix and measurement-matrix relationship.",Action,,ğŸŒ¡ï¸,
n-007,"ACTION: If your measurement occurred within a matrix, consider the relationship between the two (e.g. per unit volume of)",Action,,,
n-008,ACTION: Look in the search results for a P01 code that best matches your data. Use the guiding questions below to help you narrow the search,Action,,,
n-009,ACTION: click on link for conceptID and copy whole URI into measurement ID field,Action,,,
n-010,ACTION: navigate to SeaDataNet facet search,Action,https://vocab.seadatanet.org/p01-facet-search,,
n-011,"ACTION: search for ""biological entity specified elsewhere"", then from the Biological Entity (S25) filter, select Biological entity specified elsewhere, including subcomponent where applicable",Action,,,
n-012,"ACTION: search for ""sampling parameter""",Action,,,
n-013,"ACTION: search for or identify the measurement from ""Measurement Property"". Most likely this will be concentration",Action,,,
n-014,"ACTION: search for the measurement. Be careful not to apply too many filters, as the search may become too narrow",Action,,,
n-015,ACTION: search for the name of the chemical substance in the Free Search box,Action,,,
n-016,"ACTION: search for your measurement and/or select it from ""Measurement Property""",Action,,,
n-017,Add new issue to OBISVocabs repository to request creation of a new vocabulary  https://github.com/nvs-vocabs/OBISVocabs/issues,Suggestion,,,
n-018,Behaviour,Data Attribute,,,
n-019,"Biological  (e.g. length, weight, abundance)",Data Attribute,,ğŸŸ,
n-020,Biological  entity specified elsewhere  [ no sub-component],Pre-determined,,,
n-021,Biological  entity specified elsewhere  [ with sub-component],Pre-determined,,,
n-022,Biological entity characteristics,Data Attribute,,,
n-023,Broad habitat description  (e.g. littoral mud)  European Nature Information system,Data Attribute,,,
n-024,C17  (ICES names),Suggestion,https://vocab.nerc.ac.uk/search_nvs/C17/,,
n-025,C35,Suggestion,https://vocab.nerc.ac.uk/search_nvs/C35/,,
n-026,"Chemical substance  (e.g. concentration, flux, sedimentation rate)",Data Attribute,,ğŸ§ª,
n-027,Colour,Data Attribute,,,
n-028,Could not identify a suitable measurement ID?,Negative Result,,,
n-029,HELCOM &  Marine Habitat Classification for Britain and Ireland,Data Attribute,,,
n-030,Habitat,Data Attribute,,,
n-031,"How to use these decision trees:  These trees are meant to help you identify the important elements within your measurement so that you find the best suited vocabulary code. For all branches related to measurementType, the tree should be used in conjunction with the SeaDataNet facet search to obtain P01 codes.   You will notice other collections (e.g. S07) indicated as you follow along the branches. You do not need to go to these collections to identify sub-elements, these are provided to indicate where that type of information is found. Ultimately you should select a code that best captures your measurementType, measurementUnit, or measurementValue.",Directions,,,
n-032,ICES Behaviour codes,Suggestion,https://vocab.ices.dk/?codetypeguid=d0268a96-afc9-436e-a4db-4f61c2b9f6ba,,
n-033,"Is it a statistically derived parameter (e.g. mean, max)?",Optional,,ğŸ§ª,
n-034,"Is it a statistically derived parameter? (e.g. mean, max)",Optional,,ğŸŸ,
n-101,"Is it a statistically derived parameter (e.g. mean, max)?",Optional,,ğŸŒ¡ï¸,
n-035,Is the name and model of the sampling instrument known?,Optional,,,
n-036,L05  (categories),Suggestion,https://vocab.nerc.ac.uk/search_nvs/L05/,,
n-037,L06  (Platform category),Suggestion,https://vocab.nerc.ac.uk/search_nvs/L06/,,
n-038,L22  (model names),Suggestion,https://vocab.nerc.ac.uk/search_nvs/L22/,,
n-039,Life stage,Data Attribute,,,
n-040,M23,Suggestion,https://vocab.nerc.ac.uk/search_nvs/M23/,,
n-120,M24,Suggestion,https://vocab.nerc.ac.uk/search_nvs/M24/,,
n-041,Morphology,Data Attribute,,,
n-042,NERC  P06 collection,Suggestion,https://vocab.nerc.ac.uk/search_nvs/P06/,,
n-044,Optional,Legend,,,
n-045,Other physical entity (S29),Suggestion,,,
n-046,Phase S23,Text Only,https://vocab.nerc.ac.uk/search_nvs/S23/,,
n-047,Phase sub-group  S24,Text Only,https://vocab.nerc.ac.uk/search_nvs/S24/,,
n-048,"Physical or abiotic (e.g. temperature, salinity)",Data Attribute,,ğŸŒ¡ï¸,
n-049,Platform or Vessel Codes & Names,Data Attribute,,,
n-050,Pre-determined,Legend,,,
n-051,S03 for Sample preparation,Text Only,https://vocab.nerc.ac.uk/search_nvs/S03/,ğŸŸ,
n-113,S03 for Sample preparation,Text Only,https://vocab.nerc.ac.uk/search_nvs/S03/,ğŸŒ¡ï¸,
n-114,S03 for Sample preparation,Text Only,https://vocab.nerc.ac.uk/search_nvs/S03/,ğŸ§ª,
n-052,S04 for Analytical methods,Text Only,https://vocab.nerc.ac.uk/search_nvs/S04/,ğŸŸ,
n-115,S04 for Analytical methods,Text Only,https://vocab.nerc.ac.uk/search_nvs/S04/,ğŸŒ¡ï¸,
n-116,S04 for Analytical methods,Text Only,https://vocab.nerc.ac.uk/search_nvs/S04/,ğŸ§ª,
n-053,S05 for Data processing methods,Text Only,https://vocab.nerc.ac.uk/search_nvs/S05/,ğŸŸ,
n-117,S05 for Data processing methods,Text Only,https://vocab.nerc.ac.uk/search_nvs/S05/,ğŸŒ¡ï¸,
n-118,S05 for Data processing methods,Text Only,https://vocab.nerc.ac.uk/search_nvs/S05/,ğŸ§ª,
n-054,S10,Suggestion,https://vocab.nerc.ac.uk/search_nvs/S10/,,
n-055,S11,Suggestion,https://vocab.nerc.ac.uk/search_nvs/S11/,,
n-056,S14,Suggestion,https://vocab.nerc.ac.uk/search_nvs/S14/,,
n-057,S15,Suggestion,https://vocab.nerc.ac.uk/search_nvs/S15/,,
n-058,S26 or for more specific matrices see:,Suggestion,https://vocab.nerc.ac.uk/search_nvs/S26/,ğŸŒ¡ï¸,
n-093,S26 or for more specific matrices see:,Suggestion,https://vocab.nerc.ac.uk/search_nvs/S26/,ğŸ§ª,
n-098,For specific methods see:,Optional,,, 
n-063,For specific methods see:,Optional,,,
n-119,For specific methods see:,Optional,,,
n-001,START,Root,,,
n-060,Sampling device information,Data Attribute,,,
n-061,"Sampling device, instrument, platform/vessel information",Data Attribute,,,
n-062,"Sampling measurements  (e.g. device, protocol)",Data Attribute,,ğŸ”,
n-064,Sex,Data Attribute,,,
n-065,Sphere S21,Text Only,https://vocab.nerc.ac.uk/search_nvs/S21/,,
n-066,Sphere sub-group S22,Text Only,https://vocab.nerc.ac.uk/search_nvs/S22/,,
n-067,Strongly recommended,Legend,,,
n-068,Suggested tool/collection/action,Legend,,,
n-069,Terms in S02 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S02/,ğŸŸ,
n-104,Terms in S02 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S02/,ğŸŒ¡ï¸,
n-105,Terms in S02 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S02/,ğŸ§ª,
n-070,Terms in S06 if interested,Optional,https://vocab.nerc.ac.uk/collection/S06/current/,ğŸŸ,
n-106,Terms in S06 if interested,Optional,https://vocab.nerc.ac.uk/collection/S06/current/,ğŸŒ¡ï¸,
n-107,Terms in S06 if interested,Optional,https://vocab.nerc.ac.uk/collection/S06/current/,ğŸ§ª,
n-071,Terms in S07 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S07/,ğŸŸ,
n-108,Terms in S07 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S07/,ğŸŒ¡ï¸,
n-109,Terms in S07 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S07/,ğŸ§ª,
n-072,Terms in S12 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S12/,ğŸŸ,
n-073,Terms in S27 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S27/,ğŸ§ª,
n-074,Terms in S29 if interested,Optional,https://vocab.nerc.ac.uk/search_nvs/S29/,ğŸŒ¡ï¸,
n-075,The environmental matrix?,Strongly recommended,,,
n-076,There are only 3 matrices relevant for OBIS biological data: Water body Bed Sediment Look in S26 or S21 for more details,Text Only,,,
n-077,Were any methods used to obtain the measurement?,Strongly recommended,,ğŸŸ,
n-102,Were any methods used to obtain the measurement?,Strongly recommended,,ğŸŒ¡ï¸,
n-103,Were any methods used to obtain the measurement?,Strongly recommended,,ğŸ§ª,
n-078,What is the chemical substance being measured ?,Strongly recommended,,,
n-079,What is the matrix?,Strongly recommended,,ğŸ§ª,
n-080,What is the matrix?  (note: most of the time matrix is not needed for biological data),Strongly recommended,,ğŸŸ,
n-081,What is the measurement property?,Strongly recommended,,ğŸŸ,
n-088,What is the measurement property?,Strongly recommended,,ğŸŒ¡ï¸,
n-099,What is the measurement property?,Strongly recommended,,ğŸ§ª,
n-100,What is the measurement property?,Strongly recommended,,ğŸ”,
n-082,What is the object of interest that is being measured? Is there a subcomponent?,Strongly recommended,,,
n-083,What is the physical entity being measured?,Strongly recommended,,,
n-084,What type of (non-numeric) value is it?,Strongly recommended,,,
n-085,What type of measurement do you have?,Strongly recommended,,,
n-086,What's the measurement-matrix-relationship?,Strongly recommended,,ğŸŸ,
n-110,What's the measurement-matrix-relationship?,Strongly recommended,,ğŸŒ¡ï¸,
n-111,What's the measurement-matrix-relationship?,Strongly recommended,,ğŸ§ª,
n-087,Which identifier are you looking for?,Strongly recommended,,,
n-089,measurementTypeID,Vocab Term,,,
n-090,measurementUnitID,Vocab Term,,,
n-091,measurementValueID,Vocab Term,,,
n-094,Sphere S21,Text Only,https://vocab.nerc.ac.uk/search_nvs/S21/,,
n-095,Sphere sub-group S22,Text Only,https://vocab.nerc.ac.uk/search_nvs/S22/,,
n-096,Phase S23,Text Only,https://vocab.nerc.ac.uk/search_nvs/S23/,,
n-097,Phase sub-group  S24,Text Only,,,
,,,,,
,,,,,
,,,,,
